symbol,name,url_id
ADIB,Abu Dhabi Islamic Bank,abu-dhabi-islamic-bank-egypt
ABUK,Abu Qir Fertilizers and Chemical Industries,abou-kir-fertilizers
ALCN,Alexandria Containers&goods,alexandria-containers-and-goods
AMOC,Alexandria Mineral Oils,alx-mineral-oi
BTFH,Beltone Financial Hld,beltone-financial-holding
COMI,Commercial Int Bank,com-intl-bk
SUGR,Delta Sugar,delta-sugar
EFIH,E-finance,e-finance-digital-financial-invest
EAST,Eastern Tobacco,eastern-co
EFID,Edita Food,edita-food-industries
HRHO,EFG Hermes Holdings,efg-hermes-hol
EKHOA,Egypt Kuwait Holding,egypt-kuwait-holding
EKHO,Egyptian Kuwaiti Hld,egypt-kuwait-h
PHAR,EIPICO,egypt-intl-phr
SWDY,El Sewedy Electric,elsewedy-cable
ESRS,Ezz Steel,ezz-steel
FWRY,Fawry Banking and Payment,fawry-banking-and-payment
GBCO,GB AUTO,gb-auto-s.a.e
ISPH,Ibnsina Pharma,ibnsina-pharma
JUFO,Juhayna Food,juhayna-food-industries
MASR,Madinet Nasr for Housing and Development,medinet-nasr-h
HELI,Misr El Gadida for Housing Dev,heliopolis-housing
MFPC,Misr Fertilizers,misr-fertilizers-production-co-sae
ORAS,Orascom Construction Ltd,orascom-construction-ltd
ORHD,Orascom Hotels,orascom-hotels-and-development
ORWE,Oriental Weavers,oriental-weave
PHDC,Palm Hills Develop,palm-hill-dev
CCAP,Qalaa Holdings,citadel-capita
SKPC,Sidi Kerir,sidi-kerir-pet
TMGH,T M G Holding,t-m-g-holding
ETEL,Telecom Egypt,telecom-egypt
