"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2024","9.09","8.85","9.30","8.85","13.67M","2.48%"
"05/28/2024","8.87","8.75","8.92","8.50","2.39M","0.11%"
"05/27/2024","8.86","9.08","9.19","8.64","6.09M","-2.42%"
"05/26/2024","9.08","8.45","9.19","8.42","10.12M","7.58%"
"05/23/2024","8.44","8.60","8.68","8.38","2.89M","-1.75%"
"05/22/2024","8.59","8.74","8.76","8.41","5.02M","-1.94%"
"05/21/2024","8.76","8.26","9.11","8.25","20.65M","5.54%"
"05/20/2024","8.30","8.31","8.39","7.96","9.32M","1.22%"
"05/19/2024","8.20","6.89","8.20","6.86","17.51M","19.88%"
"05/16/2024","6.84","6.61","6.86","6.59","1.94M","3.95%"
"05/15/2024","6.58","6.68","6.68","6.55","1.52M","-0.90%"
"05/14/2024","6.64","6.89","6.89","6.61","1.23M","-2.35%"
"05/13/2024","6.80","6.85","6.94","6.58","1.80M","-0.73%"
"05/12/2024","6.85","7.12","7.18","6.85","1.37M","-3.79%"
"05/09/2024","7.12","7.17","7.22","7.07","1.52M","-0.42%"
"05/08/2024","7.15","7.20","7.26","7.14","2.02M","-0.42%"
"05/07/2024","7.18","7.11","7.34","7.04","6.30M","0.98%"
"05/02/2024","7.11","7.04","7.17","6.97","2.16M","1.28%"
"05/01/2024","7.02","6.91","7.10","6.80","4.34M","1.89%"
"04/30/2024","6.89","7.23","7.38","6.88","5.22M","-4.44%"
"04/29/2024","7.21","7.00","7.22","7.00","5.66M","2.85%"
"04/28/2024","7.01","7.16","7.24","6.96","2.15M","-2.09%"
"04/24/2024","7.16","7.27","7.34","6.97","4.25M","-1.51%"
"04/23/2024","7.27","7.90","7.95","7.14","2.99M","-7.97%"
"04/22/2024","7.90","8.03","8.10","7.87","1.17M","-1.62%"
"04/21/2024","8.03","7.80","8.06","7.90","3.29M","2.95%"
"04/18/2024","7.80","8.35","8.40","7.72","2.98M","-6.59%"
"04/17/2024","8.35","8.35","8.41","8.30","3.09M","0.00%"
"04/16/2024","8.35","8.47","8.49","8.33","3.66M","-1.42%"
"04/15/2024","8.47","8.31","8.47","8.28","6.88M","1.93%"
"04/08/2024","8.31","8.21","8.33","8.15","2.50M","1.22%"
"04/07/2024","8.21","7.95","8.36","8.04","7.80M","3.27%"
"04/04/2024","7.95","7.84","8.13","7.86","5.47M","1.40%"
"04/03/2024","7.84","7.77","7.86","7.66","3.36M","0.90%"
"04/02/2024","7.77","7.56","7.85","7.51","3.67M","2.78%"
"04/01/2024","7.56","7.33","7.58","7.33","1.59M","3.14%"
"03/31/2024","7.33","7.49","7.53","7.25","1.26M","-2.14%"
"03/28/2024","7.49","7.52","7.55","7.38","1.50M","-0.40%"
"03/27/2024","7.52","7.60","7.62","7.35","3.96M","-1.05%"
"03/26/2024","7.60","7.78","7.85","7.58","4.02M","-2.31%"
"03/25/2024","7.78","7.75","7.83","7.64","2.42M","0.39%"
"03/24/2024","7.75","7.40","7.76","7.47","7.03M","4.73%"
"03/21/2024","7.40","7.21","7.42","7.12","4.26M","2.64%"
"03/20/2024","7.21","7.30","7.51","7.15","4.59M","-1.23%"
"03/19/2024","7.30","7.04","7.32","6.95","7.17M","3.69%"
"03/18/2024","7.04","7.84","7.90","7.04","4.77M","-10.20%"
"03/17/2024","7.84","8.17","8.28","7.84","5.89M","-4.04%"
"03/14/2024","8.17","8.20","8.35","8.00","6.30M","-0.37%"
"03/13/2024","8.20","8.90","8.95","8.16","6.17M","-7.87%"
"03/12/2024","8.90","9.17","9.25","8.90","2.65M","-2.94%"
"03/11/2024","9.17","9.34","9.49","9.09","6.38M","-1.82%"
"03/10/2024","9.34","9.25","9.46","9.23","3.46M","0.97%"
"03/07/2024","9.25","9.37","9.66","9.17","2.70M","-1.28%"
"03/06/2024","9.37","9.25","10.19","9.27","11.78M","1.30%"
"03/05/2024","9.25","9.35","9.41","9.15","2.52M","-1.07%"
"03/04/2024","9.35","8.92","9.35","8.93","4.62M","4.82%"
"03/03/2024","8.92","9.24","9.29","8.88","4.33M","-3.46%"
"02/29/2024","9.24","9.27","9.41","9.06","2.93M","-0.32%"
"02/28/2024","9.27","9.20","9.37","9.14","3.33M","0.76%"
"02/27/2024","9.20","9.32","9.50","9.15","5.26M","-1.29%"
"02/26/2024","9.32","9.00","9.56","9.09","7.11M","3.56%"
"02/25/2024","9.00","9.96","9.60","9.00","10.17M","-9.64%"
"02/22/2024","9.96","9.93","10.08","9.88","5.09M","0.30%"
"02/21/2024","9.93","10.00","10.08","9.90","4.22M","-0.70%"
"02/20/2024","10.00","10.05","10.33","10.00","8.11M","-0.50%"
"02/19/2024","10.05","9.91","10.15","9.90","20.63M","1.41%"
"02/18/2024","9.91","10.05","10.09","9.89","5.77M","-1.39%"
"02/15/2024","10.05","10.18","10.35","10.04","7.79M","-1.28%"
"02/14/2024","10.18","9.71","10.18","9.71","7.93M","4.84%"
"02/13/2024","9.71","9.60","9.86","9.60","2.94M","1.15%"
