"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","31.41","31.82","32.10","31.30","417.89K","-1.29%"
"05/29/2024","31.82","32.19","32.19","31.71","856.79K","-1.15%"
"05/28/2024","32.19","31.90","32.20","31.01","1.31M","0.53%"
"05/27/2024","32.02","32.47","32.80","32.02","909.16K","-1.39%"
"05/26/2024","32.47","32.50","32.60","32.00","630.54K","0.62%"
"05/23/2024","32.27","31.71","33.00","31.71","2.25M","2.06%"
"05/22/2024","31.62","31.15","31.76","30.91","1.33M","1.64%"
"05/21/2024","31.11","30.79","31.80","30.37","2.63M","1.87%"
"05/20/2024","30.54","31.52","31.84","30.50","2.90M","-2.40%"
"05/19/2024","31.29","30.86","31.70","30.00","3.51M","2.25%"
"05/16/2024","30.60","30.47","31.00","30.20","1.18M","0.62%"
"05/15/2024","30.41","30.58","30.92","30.10","516.93K","0.96%"
"05/14/2024","30.12","31.11","31.80","29.88","1.33M","-3.06%"
"05/13/2024","31.07","31.60","31.99","30.35","160.74K","-0.26%"
"05/12/2024","31.15","32.11","32.50","31.02","171.61K","-5.09%"
"05/09/2024","32.82","30.81","32.84","30.40","885.46K","7.15%"
"05/08/2024","30.63","33.00","33.30","30.17","1.00M","-6.90%"
"05/07/2024","32.90","33.00","33.50","32.10","307.86K","0.21%"
"05/02/2024","32.83","32.96","33.87","32.55","554.40K","-0.39%"
"05/01/2024","32.96","33.00","33.33","31.25","351.99K","0.80%"
"04/30/2024","32.70","34.97","34.97","31.95","1.75M","-6.01%"
"04/29/2024","34.79","33.30","34.88","32.63","800.11K","4.51%"
"04/28/2024","33.29","35.17","36.95","33.00","860.96K","-13.76%"
"04/24/2024","38.60","38.90","39.50","37.95","1.09M","-0.77%"
"04/23/2024","38.90","39.75","40.49","38.70","773.05K","-2.14%"
"04/22/2024","39.75","40.60","40.90","39.71","433.51K","-2.09%"
"04/21/2024","40.60","40.00","40.98","40.05","311.30K","1.50%"
"04/18/2024","40.00","41.82","42.39","39.50","619.89K","-4.35%"
"04/17/2024","41.82","41.29","43.19","40.65","877.71K","1.28%"
"04/16/2024","41.29","39.81","41.43","39.60","649.32K","3.72%"
"04/15/2024","39.81","38.80","39.86","38.60","1.15M","2.60%"
"04/08/2024","38.80","37.32","38.89","37.10","1.05M","3.97%"
"04/07/2024","37.32","36.70","37.44","36.90","260.18K","1.69%"
"04/04/2024","36.70","37.03","37.60","36.64","777.39K","-0.89%"
"04/03/2024","37.03","37.99","37.98","36.66","171.82K","-2.53%"
"04/02/2024","37.99","37.71","38.49","37.75","131.09K","0.74%"
"04/01/2024","37.71","36.39","39.00","36.80","586.47K","3.63%"
"03/31/2024","36.39","39.00","39.20","36.15","242.59K","-6.69%"
"03/28/2024","39.00","39.02","39.70","38.50","143.14K","-0.05%"
"03/27/2024","39.02","40.00","40.00","38.70","151.91K","-2.45%"
"03/26/2024","40.00","40.03","40.90","40.00","5.38M","-0.07%"
"03/25/2024","40.03","40.00","40.40","39.80","119.95K","0.07%"
"03/24/2024","40.00","40.75","41.35","39.32","346.34K","-1.84%"
"03/21/2024","40.75","40.64","41.50","40.00","240.70K","0.27%"
"03/20/2024","40.64","40.07","41.79","40.15","235.99K","1.42%"
"03/19/2024","40.07","38.90","41.20","38.90","8.62M","3.01%"
"03/18/2024","38.90","40.00","41.39","38.70","735.04K","-2.75%"
"03/17/2024","40.00","38.30","41.00","39.01","1.75M","4.44%"
"03/14/2024","38.30","41.49","41.99","38.30","1.11M","-7.69%"
"03/13/2024","41.49","41.90","42.48","40.19","1.96M","-0.98%"
"03/12/2024","41.90","43.36","44.00","40.52","1.89M","-3.37%"
"03/11/2024","43.36","44.99","45.50","43.03","1.59M","-3.62%"
"03/10/2024","44.99","46.95","47.94","44.50","1.38M","-4.17%"
"03/07/2024","46.95","44.79","47.47","43.70","1.59M","4.82%"
"03/06/2024","44.79","44.75","47.98","44.23","724.97K","0.09%"
"03/05/2024","44.75","46.95","46.99","44.60","827.79K","-4.69%"
"03/04/2024","46.95","44.80","48.00","44.03","469.09K","4.80%"
"03/03/2024","44.80","45.00","45.10","43.60","697.33K","-0.44%"
"02/29/2024","45.00","46.01","46.10","43.56","1.26M","-2.20%"
"02/28/2024","46.01","44.90","47.43","44.82","1.05M","2.47%"
"02/27/2024","44.90","44.00","46.01","44.00","1.21M","2.05%"
"02/26/2024","44.00","44.85","46.99","44.00","1.05M","-1.90%"
"02/25/2024","44.85","51.00","49.89","43.91","1.80M","-12.06%"
"02/22/2024","51.00","51.61","52.00","45.00","404.36K","-1.18%"
"02/21/2024","51.61","51.95","51.97","50.62","526.37K","-0.65%"
"02/20/2024","51.95","52.99","53.00","51.61","310.87K","-1.96%"
"02/19/2024","52.99","52.00","53.30","51.51","590.91K","1.90%"
"02/18/2024","52.00","51.00","53.20","51.00","1.21M","1.96%"
"02/15/2024","51.00","50.00","51.20","49.86","745.49K","2.00%"
"02/14/2024","50.00","49.90","51.47","49.56","682.96K","0.20%"
