"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2021","9.78","9.83","9.86","9.75","1.05M","0.43%"
"10/05/2021","9.74","9.80","9.91","9.67","804.91K","-0.60%"
"10/04/2021","9.80","9.96","10.00","9.74","903.80K","-1.34%"
"10/03/2021","9.93","10.17","10.25","9.79","973.39K","-1.97%"
"09/30/2021","10.13","9.99","10.18","9.99","920.33K","1.33%"
"09/29/2021","10.00","9.97","10.07","9.93","257.95K","0.33%"
"09/28/2021","9.97","10.08","10.20","9.92","668.33K","-0.66%"
"09/27/2021","10.03","10.17","10.25","10.00","500.79K","-1.87%"
"09/26/2021","10.22","10.18","10.33","10.16","153.65K","-0.08%"
"09/23/2021","10.23","10.21","10.29","10.13","599.98K","0.66%"
"09/22/2021","10.17","10.00","10.25","10.00","406.46K","0.83%"
"09/21/2021","10.08","9.98","10.15","9.76","2.10M","0.08%"
"09/20/2021","10.07","10.26","10.42","10.00","1.07M","-2.74%"
"09/19/2021","10.36","10.66","10.66","10.29","216.12K","-2.81%"
"09/16/2021","10.66","10.51","10.66","10.45","1.02M","2.08%"
"09/15/2021","10.44","10.47","10.62","10.34","600.28K","-0.24%"
"09/14/2021","10.47","10.35","10.64","10.27","971.03K","1.37%"
"09/13/2021","10.32","10.11","10.40","10.11","371.88K","1.72%"
"09/12/2021","10.15","10.25","10.25","10.08","586.51K","-0.33%"
"09/09/2021","10.18","10.42","10.42","10.12","1.22M","-1.61%"
"09/08/2021","10.35","10.42","10.42","10.28","1.25M","-0.80%"
"09/07/2021","10.43","10.37","10.48","10.29","1.37M","0.64%"
"09/06/2021","10.37","10.37","10.44","9.92","3.83M","0.00%"
"09/05/2021","10.37","10.77","10.77","10.29","1.56M","-3.34%"
"09/02/2021","10.72","10.67","10.82","10.51","2.68M","1.34%"
"09/01/2021","10.58","10.53","10.75","10.42","3.03M","1.84%"
"08/31/2021","10.39","10.33","10.58","10.17","3.79M","-0.48%"
"08/30/2021","10.44","10.09","10.73","10.09","4.25M","3.38%"
"08/29/2021","10.10","10.17","10.27","10.00","1.53M","-0.66%"
"08/26/2021","10.17","9.90","10.37","9.90","4.73M","3.57%"
"08/25/2021","9.82","9.71","9.90","9.67","2.49M","1.64%"
"08/24/2021","9.66","9.62","9.72","9.62","1.36M","0.43%"
"08/23/2021","9.62","9.54","9.71","9.52","809.32K","0.61%"
"08/22/2021","9.56","9.51","9.63","9.51","75.25K","-0.52%"
"08/19/2021","9.61","9.66","9.67","9.50","1.79M","-0.17%"
"08/18/2021","9.62","9.75","9.75","9.55","252.07K","-0.35%"
"08/17/2021","9.66","9.73","9.77","9.61","625.88K","-0.77%"
"08/16/2021","9.73","9.62","9.81","9.58","1.99M","1.48%"
"08/15/2021","9.59","9.42","9.65","9.37","1.68M","2.13%"
"08/11/2021","9.39","9.51","9.51","9.35","536.13K","-0.62%"
"08/10/2021","9.45","9.46","9.52","9.37","975.11K","-0.09%"
"08/09/2021","9.46","9.50","9.52","9.37","674.63K","-0.35%"
"08/08/2021","9.49","9.58","9.58","9.44","577.34K","-0.44%"
"08/05/2021","9.53","9.65","9.65","9.48","822.10K","-0.78%"
"08/04/2021","9.61","9.46","9.69","9.46","1.22M","1.05%"
"08/03/2021","9.51","9.55","9.58","9.46","988.50K","-0.52%"
"08/02/2021","9.56","9.70","9.71","9.48","1.05M","-0.69%"
"08/01/2021","9.62","9.67","9.67","9.56","376.59K","-0.43%"
"07/29/2021","9.67","9.81","9.83","9.54","719.67K","-0.68%"
