"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","2.590","2.640","2.660","2.570","3.56M","-1.89%"
"05/29/2024","2.640","2.630","2.750","2.600","13.38M","0.38%"
"05/28/2024","2.630","2.610","2.650","2.490","7.87M","-1.13%"
"05/27/2024","2.660","2.720","2.740","2.630","9.91M","-1.48%"
"05/26/2024","2.700","2.630","2.720","2.610","13.39M","3.45%"
"05/23/2024","2.610","2.560","2.690","2.550","14.33M","2.76%"
"05/22/2024","2.540","2.560","2.570","2.450","12.30M","-0.78%"
"05/21/2024","2.560","2.470","2.630","2.450","24.80M","4.07%"
"05/20/2024","2.460","2.490","2.530","2.410","12.57M","-0.40%"
"05/19/2024","2.470","2.390","2.480","2.380","11.67M","4.22%"
"05/16/2024","2.370","2.260","2.390","2.250","13.02M","5.80%"
"05/15/2024","2.240","2.240","2.270","2.200","8.29M","0.00%"
"05/14/2024","2.240","2.260","2.310","2.170","9.81M","-2.18%"
"05/13/2024","2.290","2.230","2.290","2.140","11.03M","2.69%"
"05/12/2024","2.230","2.440","2.460","2.210","16.52M","-7.85%"
"05/09/2024","2.420","2.440","2.460","2.370","4.97M","-0.82%"
"05/08/2024","2.440","2.470","2.510","2.410","11.75M","-0.81%"
"05/07/2024","2.460","2.450","2.500","2.400","8.48M","0.00%"
"05/02/2024","2.460","2.450","2.500","2.370","9.68M","1.23%"
"05/01/2024","2.430","2.370","2.450","2.260","8.13M","2.53%"
"04/30/2024","2.370","2.560","2.580","2.280","10.08M","-7.06%"
"04/29/2024","2.550","2.430","2.560","2.430","11.01M","4.94%"
"04/28/2024","2.430","2.610","2.650","2.400","12.22M","-5.81%"
"04/24/2024","2.580","2.820","2.840","2.570","31.96M","-8.51%"
"04/23/2024","2.820","2.900","3.050","2.750","38.10M","-2.76%"
"04/22/2024","2.900","2.740","2.900","2.780","13.75M","5.84%"
"04/21/2024","2.740","2.660","2.760","2.690","6.05M","3.01%"
"04/18/2024","2.660","2.890","2.940","2.600","12.81M","-7.96%"
"04/17/2024","2.890","2.820","2.950","2.830","15.64M","2.48%"
"04/16/2024","2.820","2.810","2.850","2.750","9.88M","0.36%"
"04/15/2024","2.810","2.640","2.830","2.590","19.95M","6.44%"
"04/08/2024","2.640","2.530","2.650","2.510","9.18M","4.35%"
"04/07/2024","2.530","2.510","2.590","2.530","9.65M","0.80%"
"04/04/2024","2.510","2.470","2.540","2.460","9.54M","1.62%"
"04/03/2024","2.470","2.450","2.470","2.400","13.30M","0.82%"
"04/02/2024","2.450","2.500","2.570","2.440","13.96M","-2.00%"
"04/01/2024","2.500","2.390","2.520","2.400","9.40M","4.60%"
"03/31/2024","2.390","2.560","2.590","2.360","12.36M","-6.64%"
"03/28/2024","2.560","2.700","2.700","2.560","9.37M","-5.19%"
"03/27/2024","2.700","2.770","2.790","2.670","10.47M","-2.53%"
"03/26/2024","2.770","2.830","2.900","2.770","16.16M","-2.12%"
"03/25/2024","2.830","2.690","2.830","2.660","14.81M","5.20%"
"03/24/2024","2.690","2.660","2.730","2.630","14.64M","1.13%"
"03/21/2024","2.660","2.560","2.720","2.540","25.84M","3.91%"
"03/20/2024","2.560","2.610","2.670","2.520","22.59M","-1.92%"
"03/19/2024","2.610","2.660","2.730","2.520","21.80M","-1.88%"
"03/18/2024","2.660","2.910","2.940","2.640","15.36M","-8.59%"
"03/17/2024","2.910","2.930","3.500","2.910","9.81M","-0.68%"
