"Date","Price","Open","High","Low","Vol.","Change %"
"12/16/2020","3.18","3.22","3.26","3.14","2.91M","-3.07%"
"12/15/2020","3.28","3.27","3.32","3.21","7.74M","1.30%"
"12/14/2020","3.24","3.23","3.27","3.21","3.21M","1.58%"
"12/13/2020","3.19","3.15","3.23","3.13","1.89M","1.06%"
"12/10/2020","3.16","3.19","3.20","3.13","3.66M","-1.57%"
"12/09/2020","3.21","3.19","3.24","3.17","3.90M","0.79%"
"12/08/2020","3.18","3.18","3.21","3.16","3.87M","0.26%"
"12/07/2020","3.17","3.18","3.20","3.16","2.36M","0.00%"
"12/06/2020","3.17","3.21","3.22","3.16","3.02M","-0.26%"
"12/03/2020","3.18","3.19","3.21","3.15","3.21M","-0.26%"
"12/02/2020","3.19","3.24","3.27","3.15","5.93M","-0.78%"
"12/01/2020","3.21","3.21","3.23","3.18","3.76M","0.00%"
"11/30/2020","3.21","3.28","3.28","3.17","17.39M","-2.05%"
"11/29/2020","3.28","3.27","3.32","3.26","2.10M","0.51%"
"11/26/2020","3.27","3.32","3.35","3.23","5.67M","-2.26%"
"11/25/2020","3.34","3.40","3.41","3.29","6.53M","-1.24%"
"11/24/2020","3.38","3.36","3.42","3.33","7.63M","1.26%"
"11/23/2020","3.34","3.33","3.37","3.31","4.63M","1.02%"
"11/22/2020","3.31","3.32","3.36","3.27","2.94M","-0.76%"
"11/19/2020","3.33","3.29","3.40","3.25","7.43M","-0.50%"
"11/18/2020","3.35","3.39","3.40","3.29","9.00M","-1.72%"
"11/17/2020","3.41","3.38","3.46","3.36","17.33M","2.78%"
"11/16/2020","3.32","3.27","3.39","3.26","12.40M","1.80%"
"11/15/2020","3.26","3.28","3.29","3.23","2.11M","-0.26%"
"11/12/2020","3.27","3.26","3.32","3.21","8.76M","1.30%"
"11/11/2020","3.22","3.22","3.25","3.20","5.45M","-1.03%"
"11/10/2020","3.26","3.35","3.36","3.20","13.11M","2.92%"
"11/09/2020","3.16","3.06","3.27","3.06","13.47M","4.43%"
"11/08/2020","3.03","3.02","3.05","3.01","2.45M","-0.55%"
"11/05/2020","3.05","3.05","3.08","3.00","3.35M","0.28%"
"11/04/2020","3.04","3.05","3.08","3.01","4.41M","1.69%"
"11/03/2020","2.99","2.95","3.03","2.91","6.86M","1.14%"
"11/02/2020","2.95","3.01","3.07","2.87","6.84M","-1.68%"
"11/01/2020","3.01","3.06","3.06","2.97","7.04M","-2.72%"
"10/28/2020","3.09","3.14","3.16","3.04","18.74M","-2.90%"
"10/27/2020","3.18","3.14","3.22","3.13","13.20M","1.34%"
"10/26/2020","3.14","3.14","3.19","3.06","9.85M","0.54%"
"10/25/2020","3.12","3.06","3.18","3.01","6.01M","0.00%"
"10/22/2020","3.12","3.19","3.21","3.03","12.03M","-3.13%"
"10/21/2020","3.22","3.28","3.29","3.12","9.95M","-0.78%"
"10/20/2020","3.25","3.29","3.32","3.19","12.97M","0.52%"
"10/19/2020","3.23","3.16","3.30","3.16","12.72M","2.39%"
"10/18/2020","3.16","3.21","3.21","3.11","10.93M","-1.83%"
"10/15/2020","3.21","3.32","3.34","3.11","21.15M","-4.49%"
"10/14/2020","3.37","3.45","3.46","3.30","9.19M","-0.50%"
"10/13/2020","3.38","3.34","3.49","3.26","14.47M","-1.47%"
"10/12/2020","3.43","3.63","3.64","3.27","27.74M","-3.08%"
"10/11/2020","3.54","3.57","3.77","3.37","66.14M","9.04%"
"10/07/2020","3.25","3.25","3.25","3.21","22.88M","3.20%"
"10/06/2020","3.15","3.02","3.24","3.02","41.78M","6.53%"
"10/05/2020","2.95","2.94","3.07","2.81","29.72M","1.15%"
"10/04/2020","2.92","2.84","2.96","2.84","20.72M","3.26%"
"10/01/2020","2.83","2.71","2.86","2.71","19.53M","4.98%"
"09/30/2020","2.69","2.64","2.74","2.64","17.92M","2.88%"
"09/29/2020","2.62","2.58","2.66","2.56","14.04M","2.30%"
"09/28/2020","2.56","2.54","2.59","2.51","3.41M","0.66%"
"09/27/2020","2.54","2.54","2.59","2.52","2.38M","1.34%"
"09/24/2020","2.51","2.54","2.56","2.47","5.49M","-1.97%"
"09/23/2020","2.56","2.59","2.60","2.53","1.88M","0.33%"
"09/22/2020","2.55","2.53","2.59","2.50","6.09M","1.33%"
"09/21/2020","2.52","2.58","2.61","2.43","9.44M","-0.99%"
"09/20/2020","2.54","2.53","2.58","2.52","2.38M","0.00%"
"09/17/2020","2.54","2.56","2.57","2.52","3.03M","-0.66%"
"09/16/2020","2.56","2.53","2.57","2.53","3.15M","0.66%"
"09/15/2020","2.54","2.55","2.57","2.53","3.40M","-1.30%"
"09/14/2020","2.58","2.59","2.62","2.55","3.87M","-0.65%"
"09/13/2020","2.59","2.59","2.63","2.57","3.17M","0.00%"
"09/10/2020","2.59","2.59","2.62","2.57","4.32M","1.64%"
"09/09/2020","2.55","2.57","2.62","2.50","12.69M","-0.65%"
"09/08/2020","2.57","2.59","2.64","2.51","11.95M","-0.65%"
"09/07/2020","2.59","2.60","2.64","2.54","6.17M","-0.96%"
"09/06/2020","2.61","2.61","2.65","2.58","5.99M","-2.51%"
"09/03/2020","2.68","2.71","2.73","2.62","5.79M","-1.24%"
"09/02/2020","2.71","2.69","2.76","2.68","5.98M","0.31%"
"09/01/2020","2.70","2.74","2.77","2.65","10.88M","-3.30%"
"08/31/2020","2.80","2.85","2.90","2.74","9.35M","-1.19%"
"08/30/2020","2.83","2.85","2.85","2.81","3.06M","-0.59%"
"08/27/2020","2.85","2.85","2.88","2.81","6.35M","-0.59%"
