"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","46.39","48.00","48.45","46.13","1.33M","-3.35%"
"05/29/2024","48.00","46.48","48.80","46.70","18.09M","3.27%"
"05/28/2024","46.48","46.20","46.85","45.05","2.87M","-0.26%"
"05/27/2024","46.60","48.40","48.88","46.33","3.30M","-3.38%"
"05/26/2024","48.23","49.48","49.50","47.67","3.00M","-1.57%"
"05/23/2024","49.00","52.76","53.33","48.28","5.54M","-7.11%"
"05/22/2024","52.75","53.99","54.00","51.90","2.96M","-2.31%"
"05/21/2024","54.00","51.50","54.85","50.82","11.02M","6.09%"
"05/20/2024","50.90","52.00","53.50","50.50","2.94M","-1.78%"
"05/19/2024","51.82","45.77","52.80","45.22","4.44M","17.77%"
"05/16/2024","44.00","38.51","45.00","38.51","2.22M","14.58%"
"05/15/2024","38.40","39.10","39.20","38.02","499.75K","-1.77%"
"05/14/2024","39.09","39.98","40.25","39.00","474.83K","-1.56%"
"05/13/2024","39.71","40.18","40.44","38.01","805.91K","-1.15%"
"05/12/2024","40.17","42.58","43.00","40.00","689.64K","-5.59%"
"05/09/2024","42.55","42.20","43.47","41.81","909.89K","1.16%"
"05/08/2024","42.06","43.00","43.50","41.90","551.65K","-1.96%"
"05/07/2024","42.90","43.39","43.95","41.90","844.64K","-1.27%"
"05/02/2024","43.45","42.45","43.74","41.81","1.03M","3.45%"
"05/01/2024","42.00","42.00","43.20","40.12","1.39M","0.12%"
"04/30/2024","41.95","46.53","46.60","41.70","1.09M","-9.40%"
"04/29/2024","46.30","44.51","46.50","44.51","701.49K","4.04%"
"04/28/2024","44.50","47.45","48.00","44.30","914.11K","-6.06%"
"04/24/2024","47.37","48.65","49.95","46.51","933.23K","-2.63%"
"04/23/2024","48.65","51.30","51.95","48.60","755.22K","-5.17%"
"04/22/2024","51.30","52.60","53.50","50.22","589.35K","-2.47%"
"04/21/2024","52.60","52.50","53.99","52.25","674.62K","0.19%"
