"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","29.25","29.40","29.50","28.83","325.90K","-0.51%"
"05/29/2024","29.40","29.32","29.99","29.06","1.03M","0.27%"
"05/28/2024","29.32","29.73","29.73","28.53","1.12M","-1.45%"
"05/27/2024","29.75","30.23","30.70","29.75","1.66M","-5.56%"
"05/26/2024","31.50","30.66","32.00","30.66","3.13M","3.62%"
"05/23/2024","30.40","30.79","30.86","30.12","815.02K","-0.23%"
"05/22/2024","30.47","30.90","31.38","29.68","1.86M","-1.74%"
"05/21/2024","31.01","31.95","32.25","30.72","1.87M","-3.03%"
"05/20/2024","31.98","32.37","32.68","31.10","4.46M","-1.20%"
"05/19/2024","32.37","28.54","33.00","28.20","7.52M","15.61%"
"05/16/2024","28.00","26.21","28.00","26.20","1.88M","7.03%"
"05/15/2024","26.16","26.65","26.94","26.01","609.00K","-1.84%"
"05/14/2024","26.65","27.36","27.77","26.41","1.40M","-1.52%"
"05/13/2024","27.06","26.50","27.10","25.03","1.83M","2.23%"
"05/12/2024","26.47","27.41","27.63","26.47","1.26M","-3.18%"
"05/09/2024","27.34","27.40","27.80","27.10","1.61M","0.15%"
"05/08/2024","27.30","28.68","28.87","27.20","1.97M","-3.84%"
"05/07/2024","28.39","28.15","28.99","27.51","1.51M","0.04%"
"05/02/2024","28.38","28.15","28.70","27.55","1.54M","1.54%"
"05/01/2024","27.95","27.50","28.50","26.56","1.38M","2.16%"
"04/30/2024","27.36","29.49","29.60","26.80","1.71M","-6.24%"
"04/29/2024","29.18","27.55","29.43","27.55","2.28M","6.11%"
"04/28/2024","27.50","29.51","29.97","27.30","2.08M","-6.53%"
"04/24/2024","29.42","29.41","30.24","28.01","2.40M","0.03%"
"04/23/2024","29.41","30.97","31.77","29.30","2.63M","-5.04%"
"04/22/2024","30.97","32.00","32.48","30.65","759.86K","-3.22%"
"04/21/2024","32.00","31.75","32.90","31.80","2.24M","0.79%"
"04/18/2024","31.75","34.90","35.00","30.61","4.70M","-9.03%"
"04/17/2024","34.90","34.74","35.50","34.11","3.67M","0.46%"
"04/16/2024","34.74","34.40","35.10","33.51","2.57M","0.99%"
"04/15/2024","34.40","33.15","34.80","32.91","3.32M","3.77%"
"04/08/2024","33.15","33.00","33.38","32.32","2.75M","0.45%"
"04/07/2024","33.00","32.11","33.69","32.17","3.31M","2.77%"
"04/04/2024","32.11","30.25","32.56","30.51","4.36M","6.15%"
"04/03/2024","30.25","29.59","30.40","29.03","2.40M","2.23%"
"04/02/2024","29.59","28.50","30.35","28.80","4.09M","3.82%"
"04/01/2024","28.50","26.68","28.85","26.87","2.52M","6.82%"
"03/31/2024","26.68","27.21","27.73","26.01","1.97M","-1.95%"
"03/28/2024","27.21","27.42","27.51","26.32","1.28M","-0.77%"
"03/27/2024","27.42","28.25","28.20","27.17","1.38M","-2.94%"
"03/26/2024","28.25","27.98","28.52","27.97","2.93M","0.96%"
"03/25/2024","27.98","27.23","28.78","27.06","3.84M","2.75%"
"03/24/2024","27.23","27.71","28.14","26.80","2.28M","-1.73%"
"03/21/2024","27.71","25.53","27.80","24.41","3.09M","8.54%"
"03/20/2024","25.53","26.00","26.70","25.52","2.81M","-1.81%"
"03/19/2024","26.00","25.52","26.00","24.21","3.26M","1.88%"
"03/18/2024","25.52","27.48","27.33","23.22","3.97M","-7.13%"
"03/17/2024","27.48","28.30","29.00","27.25","2.12M","-2.90%"
"03/14/2024","28.30","28.40","28.98","26.03","7.42M","-0.35%"
"03/13/2024","28.40","30.69","30.99","27.60","5.97M","-7.46%"
"03/12/2024","30.69","33.00","33.00","29.93","6.02M","-7.00%"
"03/11/2024","33.00","33.69","35.25","32.81","5.00M","-2.05%"
"03/10/2024","33.69","32.30","33.80","31.78","6.62M","4.30%"
"03/07/2024","32.30","33.00","34.00","31.00","3.82M","-2.12%"
"03/06/2024","33.00","30.85","36.95","31.70","7.62M","6.97%"
"03/05/2024","30.85","31.36","32.33","30.80","3.10M","-1.63%"
"03/04/2024","31.36","29.43","31.36","29.45","2.89M","6.56%"
"03/03/2024","29.43","30.15","30.08","29.30","1.17M","-2.39%"
"02/29/2024","30.15","29.35","30.80","29.05","2.23M","2.73%"
"02/28/2024","29.35","30.05","31.59","29.00","5.15M","-2.33%"
"02/27/2024","30.05","30.64","31.65","30.01","4.92M","-1.93%"
"02/26/2024","30.64","31.73","33.60","30.64","4.72M","-3.44%"
"02/25/2024","31.73","39.41","37.39","31.53","8.60M","-19.49%"
"02/22/2024","39.41","39.10","39.74","39.10","552.47K","0.79%"
"02/21/2024","39.10","39.18","39.67","38.80","774.68K","-0.20%"
"02/20/2024","39.18","39.77","40.28","39.05","1.32M","-1.48%"
"02/19/2024","39.77","40.18","40.90","39.56","1.14M","-1.02%"
"02/18/2024","40.18","39.47","40.70","39.00","1.64M","1.80%"
"02/15/2024","39.47","39.94","40.96","39.27","1.89M","-1.18%"
"02/14/2024","39.94","38.81","41.09","39.20","1.28M","2.91%"
"02/13/2024","38.81","39.00","40.10","38.80","1.24M","-0.49%"
"02/12/2024","39.00","40.00","39.85","38.00","1.67M","-2.50%"
"02/11/2024","40.00","40.61","41.30","39.12","1.47M","-1.50%"
"02/08/2024","40.61","41.40","42.00","39.50","1.88M","-1.91%"
"02/07/2024","41.40","36.70","42.40","37.10","4.19M","12.81%"
"02/06/2024","36.70","38.60","39.94","36.25","2.25M","-4.92%"
"02/05/2024","38.60","37.56","40.00","38.03","1.88M","2.77%"
"02/04/2024","37.56","41.51","41.60","37.40","4.97M","-9.52%"
"02/01/2024","41.51","39.80","41.51","35.31","2.53M","4.30%"
"01/31/2024","39.80","44.72","44.78","38.00","2.26M","-9.34%"
"01/30/2024","43.90","43.70","45.00","42.20","2.18M","1.62%"
"01/29/2024","43.20","44.00","46.99","41.70","4.41M","4.10%"
"01/28/2024","41.50","36.47","42.60","36.02","6.22M","16.90%"
"01/24/2024","35.50","35.50","35.77","35.00","628.09K","0.14%"
"01/23/2024","35.45","36.50","36.51","35.07","980.39K","-2.88%"
"01/22/2024","36.50","36.50","36.72","35.50","2.09M","3.11%"
"01/21/2024","35.40","34.30","35.90","34.30","1.88M","3.42%"
"01/18/2024","34.23","32.90","34.49","32.42","1.95M","4.14%"
"01/17/2024","32.87","32.00","34.34","32.00","2.96M","4.32%"
"01/16/2024","31.51","30.57","31.97","30.37","1.95M","3.62%"
"01/15/2024","30.41","30.70","30.96","30.39","914.13K","-0.26%"
"01/14/2024","30.49","29.17","30.49","28.99","1.63M","4.42%"
"01/11/2024","29.20","29.14","29.39","28.95","361.97K","0.38%"
"01/10/2024","29.09","29.60","29.89","29.03","673.39K","-1.22%"
"01/09/2024","29.45","29.19","29.60","29.03","554.82K","1.20%"
"01/08/2024","29.10","29.25","29.51","28.90","351.25K","0.00%"
"01/04/2024","29.10","29.27","29.55","28.90","491.27K","-0.55%"
"01/03/2024","29.26","29.70","30.04","29.20","634.31K","-1.12%"
"01/02/2024","29.59","29.19","29.69","29.00","723.47K","1.79%"
"12/31/2023","29.07","28.30","29.25","28.30","1.27M","3.01%"
"12/28/2023","28.22","27.73","28.40","27.44","1.03M","2.21%"
"12/27/2023","27.61","26.70","27.61","26.33","751.80K","5.22%"
"12/26/2023","26.24","27.00","27.59","26.10","2.01M","-2.42%"
"12/25/2023","26.89","26.70","26.95","26.16","342.26K","1.36%"
"12/24/2023","26.53","27.65","27.65","26.51","417.83K","-2.61%"
"12/21/2023","27.24","27.59","27.90","27.15","218.52K","-0.80%"
"12/20/2023","27.46","27.72","28.00","27.41","197.25K","-0.87%"
"12/19/2023","27.70","27.76","28.20","27.50","453.35K","0.69%"
"12/18/2023","27.51","27.70","28.23","27.00","795.55K","0.26%"
"12/17/2023","27.44","28.00","28.26","27.35","323.06K","-1.93%"
"12/14/2023","27.98","28.50","28.90","27.90","295.94K","-1.51%"
"12/13/2023","28.41","26.24","28.62","26.05","774.10K","9.19%"
"12/12/2023","26.02","26.41","26.70","26.00","346.23K","-0.91%"
"12/11/2023","26.26","26.82","27.20","26.17","629.64K","-2.67%"
"12/10/2023","26.98","27.39","27.44","26.50","429.15K","-0.44%"
"12/07/2023","27.10","27.50","27.65","26.25","719.67K","-1.35%"
"12/06/2023","27.47","29.00","29.05","27.42","969.21K","-5.44%"
"12/05/2023","29.05","29.27","29.48","28.70","414.05K","-0.14%"
"12/04/2023","29.09","28.70","29.38","28.70","351.60K","1.32%"
"12/03/2023","28.71","29.25","29.54","28.57","459.29K","-1.68%"
"11/30/2023","29.20","28.70","29.43","28.41","280.93K","2.96%"
"11/29/2023","28.36","28.97","29.00","26.04","468.32K","-2.11%"
"11/28/2023","28.97","29.99","29.99","28.88","599.86K","-2.46%"
"11/27/2023","29.70","29.80","30.19","29.51","409.26K","-0.34%"
"11/26/2023","29.80","30.49","30.69","29.80","479.77K","-1.84%"
"11/23/2023","30.36","30.72","31.04","30.23","557.76K","-0.52%"
"11/22/2023","30.52","30.99","31.29","30.50","551.31K","-1.52%"
"11/21/2023","30.99","31.88","31.96","30.80","2.17M","-3.00%"
"11/20/2023","31.95","31.28","31.95","30.50","1.36M","2.47%"
"11/19/2023","31.18","29.59","31.20","29.22","1.92M","6.78%"
"11/16/2023","29.20","29.00","29.73","29.00","959.93K","0.69%"
"11/15/2023","29.00","28.64","29.40","28.50","633.21K","1.15%"
"11/14/2023","28.67","28.14","29.10","28.00","884.56K","2.72%"
"11/13/2023","27.91","28.80","28.98","27.86","654.06K","-2.75%"
"11/12/2023","28.70","29.31","29.50","28.60","452.02K","-1.41%"
"11/09/2023","29.11","28.85","29.73","28.55","1.10M","1.15%"
"11/08/2023","28.78","28.25","29.10","28.25","717.38K","2.38%"
"11/07/2023","28.11","28.87","28.87","27.80","905.91K","-1.92%"
"11/06/2023","28.66","28.97","29.90","28.65","405.91K","-1.07%"
"11/05/2023","28.97","28.50","29.30","28.50","604.27K","2.73%"
"11/02/2023","28.20","28.31","28.83","28.03","833.92K","0.61%"
"11/01/2023","28.03","28.50","29.50","25.95","1.41M","-1.65%"
"10/31/2023","28.50","30.00","30.35","28.50","1.30M","-4.30%"
"10/30/2023","29.78","30.40","30.54","29.59","1.12M","-0.10%"
"10/29/2023","29.81","31.30","31.49","29.80","895.32K","-4.61%"
"10/26/2023","31.25","31.70","31.90","29.75","1.31M","-0.48%"
"10/25/2023","31.40","30.79","32.00","30.79","1.57M","2.61%"
"10/24/2023","30.60","30.75","32.25","29.50","3.86M","0.23%"
"10/23/2023","30.53","28.81","30.53","28.60","3.29M","6.38%"
"10/22/2023","28.70","28.00","29.13","27.50","2.24M","2.50%"
"10/19/2023","28.00","29.60","29.70","28.00","2.43M","-5.41%"
"10/18/2023","29.60","29.00","29.85","28.50","3.89M","2.67%"
"10/17/2023","28.83","27.90","29.12","26.91","4.79M","3.71%"
"10/16/2023","27.80","26.02","28.30","26.02","3.13M","5.66%"
"10/15/2023","26.31","24.95","27.30","24.90","4.58M","5.96%"
"10/12/2023","24.83","24.80","25.00","24.40","2.09M","0.20%"
"10/11/2023","24.78","25.40","25.60","24.70","1.13M","-1.63%"
"10/10/2023","25.19","25.00","25.49","24.71","646.11K","1.08%"
"10/09/2023","24.92","25.00","25.10","24.62","507.51K","-0.24%"
"10/08/2023","24.98","25.68","25.68","22.95","1.19M","-2.91%"
"10/04/2023","25.73","25.40","25.73","24.70","564.73K","2.71%"
"10/03/2023","25.05","26.24","26.24","24.90","967.58K","-3.32%"
"10/02/2023","25.91","26.55","26.80","25.01","1.62M","-2.96%"
"10/01/2023","26.70","27.61","27.96","26.32","1.54M","-2.91%"
"09/27/2023","27.50","28.10","28.70","27.31","1.98M","-1.82%"
"09/26/2023","28.01","27.60","28.36","27.51","2.00M","1.63%"
"09/25/2023","27.56","27.80","28.15","27.50","466.66K","-0.51%"
"09/24/2023","27.70","27.73","28.43","27.55","2.30M","-0.61%"
"09/21/2023","27.87","27.90","28.00","27.05","2.55M","-0.14%"
"09/20/2023","27.91","26.02","29.90","26.00","6.61M","6.61%"
"09/19/2023","26.18","25.52","26.25","25.45","504.76K","2.67%"
"09/18/2023","25.50","25.91","26.15","25.42","499.10K","-1.54%"
"09/17/2023","25.90","25.40","26.25","25.40","1.15M","1.97%"
"09/14/2023","25.40","25.58","25.72","25.30","769.45K","0.20%"
"09/13/2023","25.35","25.11","25.50","25.01","731.42K","1.32%"
"09/12/2023","25.02","25.30","25.30","24.96","657.90K","-0.12%"
"09/11/2023","25.05","25.59","25.66","25.05","509.43K","-1.69%"
"09/10/2023","25.48","25.90","25.97","25.41","450.53K","-1.05%"
"09/07/2023","25.75","25.98","26.20","25.65","513.96K","-0.85%"
"09/06/2023","25.97","25.75","26.59","25.70","1.17M","0.85%"
"09/05/2023","25.75","25.25","26.00","25.22","1.58M","1.98%"
"09/04/2023","25.25","25.00","25.40","24.85","795.60K","1.08%"
"09/03/2023","24.98","25.20","25.47","24.95","864.12K","-0.56%"
"08/31/2023","25.12","25.50","25.55","25.10","842.94K","-1.10%"
"08/30/2023","25.40","25.39","25.64","25.21","656.59K","0.04%"
"08/29/2023","25.39","25.90","26.00","25.17","829.04K","-1.55%"
"08/28/2023","25.79","25.81","26.19","25.73","1.22M","0.43%"
"08/27/2023","25.68","25.30","26.05","25.28","2.47M","1.58%"
"08/24/2023","25.28","25.01","25.44","24.82","2.28M","0.72%"
"08/23/2023","25.10","24.85","25.35","24.80","3.64M","1.50%"
"08/22/2023","24.73","24.22","24.86","24.20","1.36M","1.15%"
"08/21/2023","24.45","24.31","24.69","24.10","956.21K","0.58%"
"08/20/2023","24.31","24.44","24.63","24.16","581.12K","-0.37%"
"08/17/2023","24.40","24.51","24.65","23.95","1.70M","-0.41%"
"08/16/2023","24.50","23.91","24.50","23.80","3.23M","2.30%"
"08/15/2023","23.95","23.20","23.99","23.02","3.04M","4.09%"
"08/14/2023","23.01","23.39","23.64","23.00","1.26M","-0.82%"
"08/13/2023","23.20","22.71","23.49","22.62","3.01M","2.20%"
"08/10/2023","22.70","22.90","23.26","22.68","1.35M","-0.87%"
"08/09/2023","22.90","23.30","23.50","22.87","945.88K","-2.14%"
"08/08/2023","23.40","23.51","23.65","23.20","880.24K","-0.47%"
"08/07/2023","23.51","23.40","23.68","23.22","1.60M","0.04%"
"08/06/2023","23.50","22.90","23.60","22.70","1.60M","2.75%"
"08/03/2023","22.87","22.65","23.00","22.33","958.50K","3.02%"
"08/02/2023","22.20","22.60","22.66","22.02","510.59K","-1.33%"
"08/01/2023","22.50","22.75","22.88","22.50","379.38K","-0.88%"
"07/31/2023","22.70","22.70","23.10","22.60","488.62K","0.44%"
"07/30/2023","22.60","22.21","22.60","22.00","858.54K","1.76%"
"07/27/2023","22.21","22.60","22.60","22.20","490.18K","-0.63%"
"07/26/2023","22.35","22.60","22.73","22.35","552.74K","-1.41%"
"07/25/2023","22.67","22.81","23.10","22.65","978.89K","-0.57%"
