"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2024","57.58","59.00","59.00","57.22","176.08K","-1.34%"
"05/28/2024","58.36","59.00","59.00","56.70","398.17K","-1.35%"
"05/27/2024","59.16","56.98","60.99","56.80","917.81K","4.34%"
"05/26/2024","56.70","56.50","57.00","55.85","141.19K","1.25%"
"05/23/2024","56.00","56.10","56.78","55.62","104.47K","-0.05%"
"05/22/2024","56.03","56.84","56.90","55.20","115.86K","-0.41%"
"05/21/2024","56.26","57.05","57.50","56.08","216.90K","-1.35%"
"05/20/2024","57.03","57.54","58.50","56.00","328.36K","0.05%"
"05/19/2024","57.00","54.50","57.50","54.30","312.19K","5.56%"
"05/16/2024","54.00","52.50","54.00","52.21","283.86K","1.58%"
"05/15/2024","53.16","53.77","53.77","51.56","110.07K","-0.32%"
"05/14/2024","53.33","53.80","54.30","52.70","125.88K","-1.91%"
"05/13/2024","54.37","55.10","55.30","51.03","198.77K","-1.97%"
"05/12/2024","55.46","57.10","57.10","55.20","115.67K","-2.01%"
"05/09/2024","56.60","57.01","57.88","56.39","121.34K","-0.86%"
"05/08/2024","57.09","57.38","58.50","56.02","209.75K","0.76%"
"05/07/2024","56.66","57.65","57.70","55.55","286.70K","-1.65%"
"05/02/2024","57.61","57.51","58.95","57.02","151.12K","0.65%"
"05/01/2024","57.24","57.80","57.85","55.11","163.24K","-0.97%"
"04/30/2024","57.80","59.50","59.63","55.00","247.70K","-2.56%"
"04/29/2024","59.32","57.54","59.83","56.01","128.92K","3.09%"
"04/28/2024","57.54","60.00","60.00","57.10","167.27K","-3.15%"
"04/24/2024","59.41","61.06","61.60","58.16","360.30K","-2.70%"
"04/23/2024","61.06","63.60","64.35","61.00","238.17K","-3.99%"
"04/22/2024","63.60","64.30","66.61","63.50","137.51K","-1.09%"
"04/21/2024","64.30","64.00","66.00","64.03","250.69K","0.47%"
"04/18/2024","64.00","68.66","69.40","62.52","1.01M","-6.79%"
"04/17/2024","68.66","69.23","69.80","68.05","215.65K","-0.82%"
"04/16/2024","69.23","70.09","70.99","69.02","194.22K","-1.23%"
"04/15/2024","70.09","67.50","70.50","66.61","486.89K","3.84%"
"04/08/2024","67.50","67.03","67.88","65.88","151.85K","0.70%"
"04/07/2024","67.03","66.50","67.95","66.50","239.25K","0.80%"
"04/04/2024","66.50","65.82","66.90","65.83","365.29K","1.03%"
"04/03/2024","65.82","65.66","66.60","63.70","271.46K","0.24%"
"04/02/2024","65.66","66.50","68.48","64.02","509.77K","-1.26%"
"04/01/2024","66.50","61.50","66.89","62.50","613.23K","8.13%"
"03/31/2024","61.50","63.65","65.65","60.50","708.74K","-3.38%"
"03/28/2024","63.65","67.90","69.94","63.65","1.43M","-6.26%"
"03/27/2024","67.90","71.50","71.50","66.50","946.90K","-5.03%"
"03/26/2024","71.50","69.13","73.69","69.03","1.45M","3.43%"
"03/25/2024","69.13","62.08","73.39","62.21","3.28M","11.36%"
"03/24/2024","62.08","64.01","65.00","60.51","551.81K","-3.02%"
"03/21/2024","64.01","63.00","65.08","62.55","570.42K","1.60%"
"03/20/2024","63.00","63.00","64.90","61.50","583.51K","0.00%"
"03/19/2024","63.00","60.52","64.00","57.10","351.94K","4.10%"
"03/18/2024","60.52","62.70","63.00","55.00","326.53K","-3.48%"
"03/17/2024","62.70","64.20","65.96","62.52","392.72K","-2.34%"
"03/14/2024","64.20","61.84","65.00","61.20","738.00K","3.82%"
"03/13/2024","61.84","61.30","62.38","57.01","494.68K","0.88%"
"03/12/2024","61.30","63.99","64.60","61.00","501.07K","-4.20%"
"03/11/2024","63.99","65.10","66.60","61.86","685.40K","-1.71%"
"03/10/2024","65.10","66.75","67.55","64.10","606.07K","-2.47%"
"03/07/2024","66.75","68.51","69.70","64.00","536.68K","-2.57%"
"03/06/2024","68.51","69.91","71.88","61.14","1.51M","-2.00%"
"03/05/2024","69.91","67.35","72.70","67.52","1.60M","3.80%"
"03/04/2024","67.35","60.00","67.89","60.05","1.57M","12.25%"
"03/03/2024","60.00","62.25","62.00","59.00","746.22K","-3.61%"
"02/29/2024","62.25","59.00","62.25","56.02","1.02M","5.51%"
"02/28/2024","59.00","66.00","68.79","59.00","2.25M","-10.61%"
"02/27/2024","66.00","67.06","69.90","65.20","818.64K","-1.58%"
"02/26/2024","67.06","69.71","71.50","65.01","1.06M","-3.80%"
"02/25/2024","69.71","86.00","83.00","68.80","1.21M","-18.94%"
"02/22/2024","86.00","88.50","89.89","85.86","466.66K","-2.82%"
"02/21/2024","88.50","84.98","89.89","84.80","716.92K","4.14%"
"02/20/2024","84.98","84.53","85.80","84.60","149.90K","0.53%"
"02/19/2024","84.53","86.00","86.32","84.11","279.13K","-1.71%"
"02/18/2024","86.00","85.89","86.60","85.55","151.23K","0.13%"
"02/15/2024","85.89","86.40","87.00","84.80","282.84K","-0.59%"
"02/14/2024","86.40","85.41","87.40","85.78","96.64K","1.16%"
"02/13/2024","85.41","84.89","87.55","84.50","220.79K","0.61%"
"02/12/2024","84.89","87.60","87.00","84.51","269.25K","-3.09%"
"02/11/2024","87.60","87.95","89.49","86.26","166.48K","-0.40%"
"02/08/2024","87.95","86.30","88.00","86.00","79.84K","1.91%"
"02/07/2024","86.30","85.12","86.90","84.00","223.54K","1.39%"
"02/06/2024","85.12","89.76","92.96","82.49","592.60K","-5.17%"
"02/05/2024","89.76","89.20","94.90","89.23","258.33K","0.63%"
"02/04/2024","89.20","92.00","92.03","87.20","496.94K","-3.04%"
"02/01/2024","92.00","84.74","92.00","83.84","802.00K","8.57%"
"01/31/2024","84.74","95.00","95.00","82.00","768.87K","-9.47%"
"01/30/2024","93.60","98.00","99.90","92.80","424.86K","-4.48%"
"01/29/2024","97.99","88.01","98.00","88.01","738.69K","12.44%"
"01/28/2024","87.15","83.55","89.00","83.00","651.66K","6.09%"
"01/24/2024","82.15","84.00","84.00","82.01","147.24K","-1.62%"
"01/23/2024","83.50","88.00","89.50","82.00","1.13M","-2.96%"
"01/22/2024","86.05","84.25","89.39","84.25","636.25K","2.48%"
"01/21/2024","83.97","79.10","84.70","79.10","529.84K","6.29%"
"01/18/2024","79.00","79.08","79.47","77.01","102.28K","-0.10%"
"01/17/2024","79.08","81.00","81.98","78.70","637.88K","-1.97%"
"01/16/2024","80.67","76.50","80.94","76.00","832.99K","6.14%"
"01/15/2024","76.00","75.10","76.96","75.04","227.22K","1.48%"
"01/14/2024","74.89","71.15","75.79","71.01","784.08K","5.88%"
"01/11/2024","70.73","70.03","71.70","69.28","303.60K","1.80%"
"01/10/2024","69.48","69.51","70.00","69.00","170.59K","0.07%"
"01/09/2024","69.43","70.60","70.98","69.00","180.08K","-1.69%"
"01/08/2024","70.62","70.72","71.25","70.05","46.43K","0.20%"
"01/04/2024","70.48","70.60","71.30","69.70","74.47K","-0.03%"
"01/03/2024","70.50","71.50","71.77","70.00","104.72K","-0.63%"
"01/02/2024","70.95","72.42","72.42","70.81","143.49K","-1.70%"
"12/31/2023","72.18","71.60","72.69","71.00","259.99K","1.31%"
"12/28/2023","71.25","70.00","71.80","70.00","221.79K","2.17%"
"12/27/2023","69.74","68.90","69.80","67.76","151.03K","3.00%"
"12/26/2023","67.71","68.00","70.30","67.03","182.46K","0.31%"
"12/25/2023","67.50","66.05","68.00","65.00","243.23K","2.27%"
"12/24/2023","66.00","67.29","68.00","65.80","172.87K","-0.75%"
"12/21/2023","66.50","69.50","69.50","66.20","316.23K","-3.00%"
"12/20/2023","68.56","72.00","72.40","68.31","314.12K","-4.09%"
"12/19/2023","71.48","69.55","73.00","69.51","866.35K","2.88%"
"12/18/2023","69.48","68.39","69.50","67.71","375.28K","2.48%"
"12/17/2023","67.80","68.85","69.50","67.61","199.22K","0.04%"
"12/14/2023","67.77","67.11","70.40","67.11","815.01K","1.33%"
"12/13/2023","66.88","66.00","67.80","64.01","385.82K","2.81%"
"12/12/2023","65.05","65.89","67.20","64.50","257.55K","1.37%"
"12/11/2023","64.17","68.30","68.99","63.60","353.47K","-6.68%"
"12/10/2023","68.76","69.30","71.90","68.34","369.61K","0.38%"
"12/07/2023","68.50","73.50","73.50","65.01","495.51K","-6.23%"
"12/06/2023","73.05","76.00","76.99","73.00","552.64K","-3.44%"
"12/05/2023","75.65","77.00","77.98","75.00","110.87K","0.20%"
"12/04/2023","75.50","74.52","77.40","73.50","192.92K","1.03%"
"12/03/2023","74.73","76.30","76.90","74.50","157.82K","-2.31%"
"11/30/2023","76.50","76.60","78.25","76.00","278.83K","-0.44%"
"11/29/2023","76.84","78.82","79.90","74.85","402.38K","-2.49%"
"11/28/2023","78.80","81.25","81.50","78.54","288.77K","-2.98%"
"11/27/2023","81.22","83.95","83.95","80.76","210.19K","-2.39%"
"11/26/2023","83.21","84.15","85.99","82.70","164.12K","-0.94%"
"11/23/2023","84.00","82.00","86.89","81.00","631.83K","3.70%"
"11/22/2023","81.00","80.12","82.90","78.50","343.98K","1.25%"
"11/21/2023","80.00","79.12","82.00","76.70","265.26K","1.13%"
"11/20/2023","79.11","83.50","84.00","78.70","679.78K","-4.89%"
"11/19/2023","83.18","72.01","86.10","72.01","1.17M","15.34%"
"11/16/2023","72.12","71.11","72.72","71.11","97.40K","1.49%"
"11/15/2023","71.06","71.84","72.75","71.00","119.18K","0.47%"
"11/14/2023","70.73","66.37","73.23","65.80","939.20K","6.57%"
"11/13/2023","66.37","67.67","67.80","65.00","104.01K","-2.14%"
"11/12/2023","67.82","67.79","68.94","67.03","165.88K","0.40%"
"11/09/2023","67.55","67.00","67.85","66.50","147.82K","0.88%"
"11/08/2023","66.96","64.25","67.00","64.25","265.69K","4.25%"
"11/07/2023","64.23","65.50","66.00","64.14","55.20K","-1.92%"
"11/06/2023","65.49","65.70","66.42","64.29","102.43K","0.20%"
"11/05/2023","65.36","63.30","66.08","62.56","230.24K","4.81%"
"11/02/2023","62.36","62.61","63.55","62.00","171.17K","-0.13%"
"11/01/2023","62.44","64.31","66.00","60.80","251.81K","-2.71%"
"10/31/2023","64.18","68.20","69.70","63.60","794.16K","-5.59%"
"10/30/2023","67.98","68.80","68.99","67.74","150.86K","-1.61%"
"10/29/2023","69.09","70.50","70.50","67.50","204.65K","0.09%"
"10/26/2023","69.03","73.49","74.50","69.00","465.00K","-4.13%"
"10/25/2023","72.00","66.75","73.98","66.75","1.08M","8.04%"
"10/24/2023","66.64","69.01","69.98","65.51","629.63K","-3.41%"
"10/23/2023","68.99","69.00","70.00","67.90","683.82K","1.08%"
"10/22/2023","68.25","63.02","69.79","63.02","643.04K","8.32%"
"10/19/2023","63.01","63.99","66.00","61.00","565.37K","-0.60%"
"10/18/2023","63.39","65.50","65.50","63.30","333.59K","-2.18%"
"10/17/2023","64.80","66.00","66.77","63.16","348.64K","-1.22%"
"10/16/2023","65.60","60.00","67.00","59.60","1.41M","10.70%"
"10/15/2023","59.26","57.53","60.00","57.26","643.84K","3.03%"
"10/12/2023","57.52","55.66","59.45","55.13","1.01M","2.81%"
"10/11/2023","55.95","55.01","56.35","54.55","349.69K","1.93%"
"10/10/2023","54.89","55.00","55.22","53.50","385.98K","-0.18%"
"10/09/2023","54.99","55.69","56.50","54.80","206.45K","-1.26%"
"10/08/2023","55.69","57.20","58.20","51.00","675.79K","-2.52%"
"10/04/2023","57.13","55.31","58.95","54.51","508.07K","3.10%"
"10/03/2023","55.41","57.11","57.11","54.82","549.21K","-3.16%"
"10/02/2023","57.22","52.11","57.47","51.80","1.49M","10.04%"
"10/01/2023","52.00","52.00","52.92","50.14","440.70K","0.10%"
"09/27/2023","51.95","53.80","53.80","51.81","1.49M","-2.42%"
